iter	Passed	Remaining
0	30	59996
1	60	60325
2	88	59066
3	116	57918
4	145	58130
5	174	58134
6	204	58358
7	234	58480
8	266	58979
9	296	58941
10	327	59181
11	357	59238
12	386	59042
13	413	58672
14	443	58710
15	473	58729
16	503	58731
17	531	58573
18	560	58468
19	590	58498
20	618	58312
21	646	58091
22	677	58221
23	710	58535
24	741	58580
25	771	58588
26	800	58482
27	828	58330
28	858	58315
29	888	58328
30	918	58343
31	947	58277
32	975	58158
33	1006	58207
34	1035	58163
35	1064	58053
36	1091	57901
37	1121	57884
38	1151	57924
39	1180	57866
40	1208	57740
41	1236	57633
42	1264	57542
43	1292	57464
44	1321	57397
45	1348	57267
46	1377	57254
47	1405	57154
48	1434	57115
49	1463	57065
50	1489	56919
51	1518	56887
52	1549	56916
53	1579	56904
54	1605	56759
55	1634	56746
56	1663	56706
57	1690	56593
58	1718	56529
59	1749	56581
60	1780	56601
61	1812	56643
62	1844	56702
63	1884	57004
64	1916	57066
65	1951	57173
66	1985	57284
67	2018	57339
68	2051	57415
69	2084	57463
70	2116	57512
71	2147	57503
72	2183	57640
73	2217	57703
74	2251	57778
75	2284	57834
76	2316	57852
77	2346	57828
78	2376	57787
79	2410	57842
80	2443	57901
81	2477	57943
82	2510	57990
83	2542	57988
84	2576	58043
85	2607	58040
86	2638	58007
87	2666	57925
88	2693	57833
89	2723	57803
90	2752	57732
91	2779	57650
92	2808	57580
93	2837	57543
94	2867	57491
95	2895	57428
96	2925	57389
97	2955	57366
98	2983	57291
99	3012	57236
100	3040	57170
101	3069	57125
102	3098	57064
103	3126	56994
104	3155	56947
105	3185	56912
106	3214	56862
107	3241	56787
108	3271	56751
109	3299	56686
110	3327	56635
111	3357	56593
112	3387	56564
113	3416	56520
114	3445	56475
115	3474	56422
116	3502	56367
117	3531	56326
118	3559	56260
119	3587	56200
120	3616	56167
121	3646	56138
122	3674	56080
123	3702	56009
124	3731	55974
125	3760	55929
126	3788	55874
127	3815	55806
128	3847	55797
129	3877	55781
130	3906	55732
131	3933	55663
132	3962	55622
133	3990	55576
134	4018	55521
135	4048	55484
136	4078	55465
137	4110	55464
138	4140	55428
139	4169	55390
140	4196	55333
141	4226	55303
142	4255	55259
143	4283	55211
144	4313	55185
145	4344	55164
146	4374	55138
147	4405	55122
148	4435	55103
149	4465	55068
150	4495	55048
151	4526	55032
152	4556	55001
153	4586	54973
154	4613	54919
155	4641	54865
156	4672	54845
157	4701	54816
158	4732	54800
159	4759	54735
160	4787	54689
161	4817	54658
162	4845	54603
163	4872	54552
164	4903	54527
165	4932	54495
166	4962	54464
167	4990	54415
168	5019	54378
169	5047	54338
170	5075	54287
171	5104	54246
172	5133	54216
173	5164	54194
174	5193	54156
175	5221	54109
176	5250	54079
177	5280	54054
178	5307	53992
179	5335	53949
180	5366	53935
181	5396	53901
182	5426	53877
183	5453	53825
184	5482	53786
185	5510	53742
186	5538	53701
187	5567	53665
188	5597	53633
189	5627	53610
190	5657	53585
191	5687	53552
192	5717	53528
193	5746	53496
194	5774	53454
195	5803	53419
196	5832	53379
197	5862	53359
198	5893	53336
199	5922	53306
200	5949	53251
201	5977	53207
202	6005	53164
203	6034	53128
204	6064	53101
205	6094	53072
206	6123	53044
207	6152	53006
208	6181	52967
209	6209	52928
210	6238	52893
211	6268	52867
212	6298	52840
213	6327	52805
214	6356	52777
215	6385	52737
216	6412	52691
217	6442	52662
218	6471	52631
219	6501	52602
220	6531	52578
221	6559	52538
222	6589	52507
223	6616	52459
224	6643	52410
225	6673	52380
226	6703	52354
227	6731	52317
228	6760	52284
229	6789	52250
230	6818	52219
231	6849	52196
232	6877	52160
233	6905	52119
234	6933	52074
235	6961	52035
236	6991	52011
237	7022	51990
238	7051	51954
239	7080	51921
240	7108	51882
241	7136	51840
242	7165	51810
243	7194	51779
244	7224	51749
245	7254	51726
246	7282	51686
247	7310	51647
248	7339	51613
249	7367	51574
250	7398	51557
251	7428	51529
252	7456	51491
253	7485	51453
254	7514	51422
255	7542	51385
256	7571	51352
257	7601	51324
258	7630	51294
259	7660	51269
260	7689	51233
261	7715	51184
262	7747	51165
263	7775	51127
264	7802	51086
265	7832	51056
266	7861	51027
267	7890	50995
268	7918	50955
269	7946	50918
270	7976	50892
271	8006	50862
272	8037	50842
273	8063	50794
274	8093	50766
275	8121	50732
276	8149	50694
277	8179	50664
278	8208	50631
279	8238	50610
280	8268	50579
281	8295	50538
282	8325	50513
283	8353	50474
284	8383	50450
285	8412	50414
286	8440	50376
287	8469	50349
288	8499	50322
289	8527	50280
290	8555	50246
291	8584	50212
292	8612	50173
293	8641	50141
294	8671	50117
295	8701	50090
296	8731	50066
297	8758	50023
298	8787	49993
299	8814	49951
300	8845	49925
301	8874	49894
302	8904	49870
303	8934	49847
304	8966	49830
305	8995	49800
306	9023	49760
307	9052	49732
308	9081	49699
309	9109	49663
310	9137	49626
311	9169	49607
312	9199	49583
313	9228	49551
314	9256	49517
315	9286	49487
316	9315	49458
317	9344	49427
318	9372	49388
319	9402	49361
320	9433	49342
321	9461	49307
322	9489	49269
323	9520	49247
324	9551	49229
325	9582	49208
326	9614	49188
327	9646	49172
328	9677	49154
329	9709	49133
330	9735	49091
331	9764	49056
332	9792	49022
333	9822	48995
334	9849	48953
335	9879	48929
336	9917	48940
337	9953	48943
338	9987	48935
339	10015	48898
340	10044	48865
341	10074	48841
342	10101	48799
343	10128	48757
344	10156	48723
345	10185	48688
346	10214	48657
347	10243	48628
348	10274	48605
349	10306	48588
350	10335	48555
351	10362	48516
352	10391	48484
353	10419	48445
354	10447	48410
355	10476	48378
356	10505	48348
357	10534	48318
358	10562	48282
359	10594	48263
360	10629	48260
361	10664	48253
362	10692	48219
363	10721	48188
364	10752	48164
365	10780	48131
366	10810	48101
367	10839	48068
368	10868	48038
369	10896	48003
370	10922	47960
371	10952	47932
372	10982	47906
373	11011	47871
374	11038	47834
375	11068	47806
376	11097	47773
377	11124	47734
378	11153	47701
379	11181	47669
380	11211	47639
381	11238	47603
382	11267	47570
383	11295	47533
384	11323	47501
385	11351	47464
386	11380	47434
387	11408	47397
388	11440	47377
389	11467	47341
390	11497	47312
391	11525	47277
392	11551	47233
393	11581	47206
394	11609	47171
395	11637	47136
396	11666	47106
397	11696	47080
398	11726	47053
399	11754	47016
400	11781	46979
401	11811	46951
402	11840	46921
403	11870	46893
404	11900	46865
405	11929	46836
406	11958	46807
407	11991	46789
408	12021	46761
409	12050	46731
410	12079	46702
411	12109	46676
412	12138	46644
413	12167	46611
414	12194	46574
415	12224	46548
416	12252	46513
417	12281	46481
418	12311	46455
419	12346	46445
420	12377	46421
421	12406	46393
422	12435	46359
423	12463	46325
424	12491	46292
425	12521	46265
426	12551	46236
427	12581	46209
428	12609	46174
429	12638	46144
430	12667	46112
431	12695	46079
432	12724	46047
433	12754	46022
434	12784	45993
435	12812	45959
436	12841	45928
437	12869	45895
438	12897	45861
439	12926	45829
440	12955	45800
441	12985	45773
442	13013	45738
443	13039	45696
444	13069	45668
445	13097	45635
446	13126	45605
447	13153	45568
448	13184	45542
449	13213	45512
450	13241	45477
451	13270	45448
452	13299	45417
453	13326	45379
454	13353	45341
455	13380	45305
456	13409	45276
457	13439	45248
458	13467	45215
459	13495	45180
460	13522	45144
461	13551	45113
462	13580	45081
463	13608	45050
464	13638	45022
465	13669	44998
466	13698	44968
467	13728	44941
468	13757	44909
469	13783	44871
470	13813	44841
471	13842	44812
472	13870	44779
473	13898	44745
474	13928	44716
475	13956	44683
476	13983	44648
477	14013	44619
478	14042	44590
479	14073	44565
480	14103	44537
481	14130	44502
482	14159	44472
483	14188	44440
484	14216	44408
485	14243	44370
486	14273	44344
487	14301	44309
488	14332	44287
489	14362	44258
490	14391	44230
491	14421	44202
492	14449	44168
493	14476	44133
494	14505	44102
495	14536	44078
496	14565	44047
497	14592	44010
498	14620	43979
499	14649	43949
500	14679	43922
501	14707	43886
502	14737	43860
503	14767	43833
504	14798	43810
505	14829	43783
506	14862	43765
507	14893	43743
508	14922	43711
509	14951	43682
510	14981	43655
511	15012	43628
512	15039	43595
513	15068	43564
514	15097	43532
